Population ID (Patch ID),Actual Population ID,Plant #,"Pollinia Removed (Inflorescence 1, Flower 1)","Pollinia Removed (Inflorescence 1, Flower 2)","Pollinia Removed (Inflorescence 1, Flower 3)","Pollinia Removed (Inflorescence 2, Flower 1)","Pollinia Removed (Inflorescence 2, Flower 2)","Pollinia Removed (Inflorescence 2, Flower 3)","Pollinia Removed (Inflorescence 3, Flower 1)","Pollinia Removed (Inflorescence 3, Flower 2)","Pollinia Removed (Inflorescence 3, Flower 3)",Area (sq m),Plants Present,Weevil Attack/Eggs,2011 NLCD Land Use/Land Cover within 200 m,Notes,"Population Age Stage (Early, Middle, Late)",Pods Seen,Date Found,Latitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Date Revisited,Height (cm),Pods Produced,Peduncles,Leaf collected?,"Leaf collected? 1 = yes, 0 = no",Seeds collected?,"Seeds collected? 1 = yes, 0 = no",Notes
AS003,MW003,1,0,0,0,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,3,20,N,"Emergent Herbaceous Wetlands
Developed, Low Intensity (the visitor's center)
Developed, Medium Intensity (roads, parking lots)",Riverwood Conservancy marsh pond,Not recorded,Not recorded,7/9/2018,43.565106,-79.671002,C:2,,,,,,,,,,9/14/2018,149,5,6,yes,1,yes,1,"For MW003, all plants collected from AS003. No pods at AS004"
AS003,MW003,2,0,0,0,0,0,1,No third inflorescence,No third inflorescence,No third inflorescence,3,20,N,"Emergent Herbaceous Wetlands
Developed, Low Intensity (the visitor's center)
Developed, Medium Intensity (roads, parking lots)",Riverwood Conservancy marsh pond,Not recorded,Not recorded,7/9/2018,43.565106,-79.671002,"C:1, ant seen",,,,,,,,,,9/14/2018,138,2,5,yes,1,yes,1,"For MW003, all plants collected from AS003. No pods at AS004"
AS003,MW003,3,1,2,0,2,2,2,0,1,0,3,20,N,"Emergent Herbaceous Wetlands
Developed, Low Intensity (the visitor's center)
Developed, Medium Intensity (roads, parking lots)",Riverwood Conservancy marsh pond,Not recorded,Not recorded,7/9/2018,43.565106,-79.671002,3+ ants (one on every flower of 1 inflorescence),,,,,,,,,,9/14/2018,155,7,7,yes,1,yes,1,"For MW003, all plants collected from AS003. No pods at AS004"
AS003,MW003,4,2,1,1,0,1,0,4,4,3,3,20,N,"Emergent Herbaceous Wetlands
Developed, Low Intensity (the visitor's center)
Developed, Medium Intensity (roads, parking lots)",Riverwood Conservancy marsh pond,Not recorded,Not recorded,7/9/2018,43.565106,-79.671002,"ants, monarch egg",,,,,,,,,,9/14/2018,113,3,5,yes,1,yes,1,"For MW003, all plants collected from AS003. No pods at AS004"
AS003,MW003,5,2,0,0,3,1,1,1,1,2,3,20,N,"Emergent Herbaceous Wetlands
Developed, Low Intensity (the visitor's center)
Developed, Medium Intensity (roads, parking lots)",Riverwood Conservancy marsh pond,Not recorded,Not recorded,7/9/2018,43.565106,-79.671002,,,,,,,,,,,9/14/2018,161,9,7,yes,1,yes,1,"For MW003, all plants collected from AS003. No pods at AS004"
AS004,MW003,1,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,25,30,N,"Scrub/Shrub
Open Water
Deciduous Forest",Riverwood Conservancy Credit River bank,Not recorded,Not recorded,7/9/2018,43.562538,-79.674057,,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW003, all plants collected from AS003. No pods at AS004"
AS004,MW003,2,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,25,30,N,"Scrub/Shrub
Open Water
Deciduous Forest",Riverwood Conservancy Credit River bank,Not recorded,Not recorded,7/9/2018,43.562538,-79.674057,,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW003, all plants collected from AS003. No pods at AS004"
AS004,MW003,3,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,25,30,N,"Scrub/Shrub
Open Water
Deciduous Forest",Riverwood Conservancy Credit River bank,Not recorded,Not recorded,7/9/2018,43.562538,-79.674057,,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW003, all plants collected from AS003. No pods at AS004"
AS004,MW003,4,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,25,30,"Y, eggs","Scrub/Shrub
Open Water
Deciduous Forest",Riverwood Conservancy Credit River bank,Not recorded,Not recorded,7/9/2018,43.562538,-79.674057,,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW003, all plants collected from AS003. No pods at AS004"
AS004,MW003,5,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,25,30,N,"Scrub/Shrub
Open Water
Deciduous Forest",Riverwood Conservancy Credit River bank,Not recorded,Not recorded,7/9/2018,43.562538,-79.674057,C:1,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW003, all plants collected from AS003. No pods at AS004"
AS005,MW004,1,Undeveloped first inflorescence,Undeveloped first inflorescence,Undeveloped first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,20,20,"Y, eggs","Scrub/Shrub
Open Water
Deciduous Forest","Hewick Meadows. Much evidence of herbivory by insects: wrinkled, disformed, discolored/splotchy leaves",Not recorded,Not recorded,7/9/2018,43.567334,-79.686386,Y,,,,,,,,,,9/16/2018,130,1,4,yes,1,yes,1,"One plant sampled from AS005, one 90 m NW of AS008, one from AS007, one from AS008, and one from AS009 to combine into sampled population MW004. One plant left at AS006 had no pods. Plant 1."
AS005,MW004,2,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,20,20,N,"Scrub/Shrub
Open Water
Deciduous Forest","Hewick Meadows. Much evidence of herbivory by insects: wrinkled, disformed, discolored/splotchy leaves",Not recorded,Not recorded,7/9/2018,43.567334,-79.686386,,,,,,,,,,,,,,,,,,,
AS005,MW004,3,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,20,20,N,"Scrub/Shrub
Open Water
Deciduous Forest","Hewick Meadows. Much evidence of herbivory by insects: wrinkled, disformed, discolored/splotchy leaves",Not recorded,Not recorded,7/9/2018,43.567334,-79.686386,Big spider (photo),,,,,,,,,,,,,,,,,,
AS005,MW004,4,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,20,20,N,"Scrub/Shrub
Open Water
Deciduous Forest","Hewick Meadows. Much evidence of herbivory by insects: wrinkled, disformed, discolored/splotchy leaves",Not recorded,Not recorded,7/9/2018,43.567334,-79.686386,"4 earwigs, 1 collected",,,,,,,,,,,,,,,,,,
AS005,MW004,5,0,0,0,Aborted inflorescence,Aborted inflorescence,Aborted inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,20,20,N,"Scrub/Shrub
Open Water
Deciduous Forest","Hewick Meadows. Much evidence of herbivory by insects: wrinkled, disformed, discolored/splotchy leaves",Not recorded,Not recorded,7/9/2018,43.567334,-79.686386,,,,,,,,,,,,,,,,,,,
AS006,MW004,1,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,1,2,Y,"Open Space, Medium Intensity
Scrub/Shrub
Deciduous Forest",Garden in front yard of 4416 Credit Pointe Drive,Not recorded,Not recorded,7/9/2018,43.569004,-79.684245,,,,,,,,,,,,,,,,,,,
AS006,MW004,2,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,1,2,N,"Open Space, Medium Intensity
Scrub/Shrub
Deciduous Forest",Garden in front yard of 4416 Credit Pointe Drive,Not recorded,Not recorded,7/9/2018,43.569004,-79.684245,,,,,,,,,,,,,,,,,,,
AS007,MW004,1,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,400,10,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),Not recorded,Not recorded,7/9/2018,43.566504,-79.680149,1 earwig,,,,,,,,,,9/16/2018,82,7,2,yes,1,yes,1,"One plant sampled from AS005, one 90 m NW of AS008, one from AS007, one from AS008, and one from AS009 to combine into sampled population MW004. One plant left at AS006 had no pods. Plant 3."
AS007,MW004,2,Undeveloped inflorescence,Undeveloped inflorescence,Undeveloped inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,400,10,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),Not recorded,Not recorded,7/9/2018,43.566504,-79.680149,2,,,,,,,,,,,,,,,,,,
AS007,MW004,3,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,400,10,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),Not recorded,Not recorded,7/9/2018,43.566504,-79.680149,1 monarch egg,,,,,,,,,,,,,,,,,,
AS007,MW004,4,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,400,10,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),Not recorded,Not recorded,7/9/2018,43.566504,-79.680149,,,,,,,,,,,,,,,,,,,
AS007,MW004,5,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,400,10,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),Not recorded,Not recorded,7/9/2018,43.566504,-79.680149,,,,,,,,,,,,,,,,,,,
AS008,MW004,1,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,20,25,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),Not recorded,Not recorded,7/9/2018,43.566922,-79.679797,"2 earwigs, 1 caught",,,,,,,,,,9/16/2018,76,2,2,yes,1,yes,1,"One plant sampled from AS005, one 90 m NW of AS008, one from AS007, one from AS008, and one from AS009 to combine into sampled population MW004. One plant left at AS006 had no pods. Plant 2."
AS008,MW004,2,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,20,25,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),Not recorded,Not recorded,7/9/2018,43.566922,-79.679797,,,,,,,,,,,9/16/2018,60,2,2,yes,1,yes,1,"One plant sampled from AS005, one 90 m NW of AS008, one from AS007, one from AS008, and one from AS009 to combine into sampled population MW004. One plant left at AS006 had no pods. Plant 4."
AS008,MW004,3,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,20,25,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),Not recorded,Not recorded,7/9/2018,43.566922,-79.679797,1,,,,,,,,,,,,,,,,,,
AS008,MW004,4,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,20,25,"Y, eggs",Scrub/Shrub,Right of Way (mowed and unmowed areas),Not recorded,Not recorded,7/9/2018,43.566922,-79.679797,1,,,,,,,,,,,,,,,,,,
AS008,MW004,5,2,1,0,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,20,25,"Y, eggs",Scrub/Shrub,Right of Way (mowed and unmowed areas),Not recorded,Not recorded,7/9/2018,43.566922,-79.679797,Monarch caterpillar,,,,,,,,,,,,,,,,,,
AS009,MW004,1,3,2,2,5,4,0,Third inflorescence too old,Third inflorescence too old,Third inflorescence too old,15,5,Y,Scrub/Shrub,Right of Way (mowed and unmowed areas),Not recorded,Not recorded,7/9/2018,43.563919,-79.682622,4,,,,,,,,,,9/16/2018,111,5,3,yes,1,yes,1,"One plant sampled from AS005, one 90 m NW of AS008, one from AS007, one from AS008, and one from AS009 to combine into sampled population MW004. One plant left at AS006 had no pods. Plant 5."
AS009,MW004,2,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,15,5,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),Not recorded,Not recorded,7/9/2018,43.563919,-79.682622,Monarch egg,,,,,,,,,,,,,,,,,,
AS009,MW004,3,4,1,0,3,4,4,No third inflorescence,No third inflorescence,No third inflorescence,15,5,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),Not recorded,Not recorded,7/9/2018,43.563919,-79.682622,"4 soldier beetles, 1 monarch caterpillar",,,,,,,,,,,,,,,,,,
AS009,MW004,4,1,1,0,2,1,1,4,1,0,15,5,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),Not recorded,Not recorded,7/9/2018,43.563919,-79.682622,"10 soldier beetles, 1 collected",,,,,,,,,,,,,,,,,,
AS009,MW004,5,1,5,4,2,2,2,1,0,2,15,5,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),Not recorded,Not recorded,7/9/2018,43.563919,-79.682622,"1 earwig; 10 soldier beetles, 1 collected",,,,,,,,,,,,,,,,,,
AS010,MW005,1,2,0,1,1,0,1,1,0,3,9,15,"Y, eggs","Cropland
Developed, Low Intensity",,Not recorded,Not recorded,7/10/2018,43.493329,-79.747541,2,,,,,,,,,,9/14/2018,80,2,2,yes,1,yes,1,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS010,MW005,2,0,0,0,0,4,3,1,2,3,9,15,N,"Cropland
Developed, Low Intensity",,Not recorded,Not recorded,7/10/2018,43.493329,-79.747541,"Milkweed leaf beetle seen, 4 other insects collected",,,,,,,,,,9/14/2018,94,5,3,yes,1,yes,1,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS010,MW005,3,1,2,2,3,1,1,Third inflorescence too old,Third inflorescence too old,Third inflorescence too old,9,15,N,"Cropland
Developed, Low Intensity",,Not recorded,Not recorded,7/10/2018,43.493329,-79.747541,1,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS010,MW005,4,2,0,0,0,No viable flower,No viable flower,Third inflorescence too old,Third inflorescence too old,Third inflorescence too old,9,15,N,"Cropland
Developed, Low Intensity",,Not recorded,Not recorded,7/10/2018,43.493329,-79.747541,2,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS010,MW005,5,0,1,0,0,0,1,1,0,0,9,15,N,"Cropland
Developed, Low Intensity",,Not recorded,Not recorded,7/10/2018,43.493329,-79.747541,2,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS011,MW005,1,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,4,5,N,"Cropland
Developed, Low Intensity","Population looks diseased: spots, discoloration, and herbivory observed",Not recorded,Not recorded,7/10/2018,43.493262,-79.747925,1,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS011,MW005,2,Aborted inflorescence,Aborted inflorescence,Aborted inflorescence,Second inflorescence too old,Second inflorescence too old,Second inflorescence too old,No third inflorescence,No third inflorescence,No third inflorescence,4,5,N,"Cropland
Developed, Low Intensity","Population looks diseased: spots, discoloration, and herbivory observed",Not recorded,Not recorded,7/10/2018,43.493262,-79.747925,,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS011,MW005,3,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,4,5,"Y, eggs","Cropland
Developed, Low Intensity","Population looks diseased: spots, discoloration, and herbivory observed",Not recorded,Not recorded,7/10/2018,43.493262,-79.747925,,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS011,MW005,4,First inflorescence too old,First inflorescence too old,First inflorescence too old,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,4,5,N,"Cropland
Developed, Low Intensity","Population looks diseased: spots, discoloration, and herbivory observed",Not recorded,Not recorded,7/10/2018,43.493262,-79.747925,,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS011,MW005,5,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,4,5,N,"Cropland
Developed, Low Intensity","Population looks diseased: spots, discoloration, and herbivory observed",Not recorded,Not recorded,7/10/2018,43.493262,-79.747925,,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS012,MW005,1,0,0,1,0,0,1,1,0,0,30,30,Y,"Cropland
Developed, Low Intensity",,Not recorded,Not recorded,7/10/2018,43.492717,-79.748081,"1, 1 ladybug seen",,,,,,,,,,9/14/2018,114,5,9,yes,1,yes,1,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS012,MW005,2,2,2,2,3,1,0,1,1,0,30,30,Y,"Cropland
Developed, Low Intensity",,Not recorded,Not recorded,7/10/2018,43.492717,-79.748081,4,,,,,,,,,,9/14/2018,101,6,3,yes,1,yes,1,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS012,MW005,3,0,0,0,0,0,0,Undeveloped third inflorescence,Undeveloped third inflorescence,Undeveloped third inflorescence,30,30,"Y, eggs","Cropland
Developed, Low Intensity",,Not recorded,Not recorded,7/10/2018,43.492717,-79.748081,,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS012,MW005,4,0,4,1,0,0,1,2,1,1,30,30,N,"Cropland
Developed, Low Intensity",,Not recorded,Not recorded,7/10/2018,43.492717,-79.748081,"Y, approx. 5 soldier beetles seen",,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS012,MW005,5,4,4,0,5,3,2,0,3,0,30,30,N,"Cropland
Developed, Low Intensity",,Not recorded,Not recorded,7/10/2018,43.492717,-79.748081,"Y, approx. 3 soldier beetles seen",,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS013,MW005,1,0,0,0,0,0,0,0,0,1,60,20,N,"Cropland
Developed, Low Intensity",Spread along roadside,Not recorded,Not recorded,7/10/2018,43.492005,-79.749026,Y,,,,,,,,,,9/14/2018,127,4,5,yes,1,yes,1,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS013,MW005,2,0,2,0,0,1,1,Third inflorescence too old,Third inflorescence too old,Third inflorescence too old,60,20,N,"Cropland
Developed, Low Intensity",Spread along roadside,Not recorded,Not recorded,7/10/2018,43.492005,-79.749026,4 ants seen,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS013,MW005,3,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,60,20,N,"Cropland
Developed, Low Intensity",Spread along roadside,Not recorded,Not recorded,7/10/2018,43.492005,-79.749026,4 (3 collected),,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS013,MW005,4,No first inflorescence,No first inflorescence,No first inflorescence,No second inflorescence,No second inflorescence,No second inflorescence,No third inflorescence,No third inflorescence,No third inflorescence,60,20,N,"Cropland
Developed, Low Intensity",Spread along roadside,Not recorded,Not recorded,7/10/2018,43.492005,-79.749026,1,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS013,MW005,5,1,0,0,0,0,0,1,1,0,60,20,N,"Cropland
Developed, Low Intensity",Spread along roadside,Not recorded,Not recorded,7/10/2018,43.492005,-79.749026,"Y, 5 spp. spiders observed",,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS014,MW006,1,0,0,0,0,1,2,1,0,0,300,100,N,"Grassland/Herbaceous
Developed, Medium Intensity",Roadside swale,Not recorded,Not recorded,7/10/2018,43.438669,-79.780878,"1, ants on ever flower of 2 inflorescences",,,,,,,,,,9/14/2018,87,4,3,yes,1,yes,1,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS014,MW006,2,0,0,0,0,0,0,0,0,0,300,100,Y,"Grassland/Herbaceous
Developed, Medium Intensity",Roadside swale,Not recorded,Not recorded,7/10/2018,43.438669,-79.780878,2,,,,,,,,,,9/14/2018,112,2,4,yes,1,yes,1,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
AS014,MW006,3,0,1,1,0,3,1,Third inflorescence too old,Third inflorescence too old,Third inflorescence too old,300,100,N,"Grassland/Herbaceous
Developed, Medium Intensity",Roadside swale,Not recorded,Not recorded,7/10/2018,43.438669,-79.780878,1,,,,,,,,,,9/14/2018,N/A,N/A,N/A,N/A,1,N/A,0,"For MW006, collected 2 plants from AS014, 1 from AS015, and 2 from AS016"
