Population,Latitude,Longitude,Distance from Urban Center (km),Urbanization Score,Subtransect
MW060,43.646988,-79.583587,16.3582066,2.21586,Urban: Non-Corridor
MW061,43.654607,-79.607519,18.2525905,0.644411,Urban: Non-Corridor
MW062,43.651476,-79.617876,19.09387441,0.697666,Urban: Non-Corridor
MW063,43.63776,-79.635241,20.5911841,0.627215,Urban: Non-Corridor
MW064,43.628807,-79.652009,22.05331867,1.05287,Urban: Non-Corridor
MW065,43.626304,-79.673743,23.82638989,1.99176,Urban: Non-Corridor
MW066,43.618104,-79.701542,26.18012868,2.15347,Urban: Non-Corridor
MW067,43.613475,-79.705867,26.61251389,3.37284,Urban: Non-Corridor
MW068,43.595802,-79.719547,28.10715255,1.16536,Urban: Non-Corridor
MW069,43.553597,-79.699608,28.1203607,1.41576,Urban: Corridor
MW070,43.571026,-79.733337,29.94986825,3.02269,Urban: Non-Corridor
MW071,43.564655,-79.720469,29.20965465,1.56034,Urban: Non-Corridor
MW072,43.5789,-79.713398,28.14803987,1.55917,Urban: Non-Corridor
MW073,43.554564,-79.756834,32.35082743,1.95501,Urban: Non-Corridor
MW074,43.568721,-79.651832,23.91492691,2.71046,Urban: Corridor
MW075,43.573691,-79.63648,22.55875845,2.32931,Urban: Corridor
MW076,43.579335,-79.630017,21.82907402,1.98333,Urban: Corridor
MW077,43.589966,-79.6183,20.50695672,2.03083,Urban: Corridor
MW078,43.591194,-79.608405,19.71434731,2.16088,Urban: Corridor
MW079,43.601609,-79.583684,17.43758131,2.43357,Urban: Corridor
MW080,43.633829,-79.553119,14.0968647,2.18288,Urban: Corridor
